Nom,Type d'établissement,Patronyme,Réussite au brevet (en %),Type de secteur,Adresse,Code postal,Commune,latitude,longitude,Etat de l'établissement,position,Précision de secteur,Date d'ouverture,Internat,Admission
Collège privé Jeanne d'Arc,COLLEGE GENERALE PRIVE,JEANNE D ARC,97,Privé,3 place DE LA FRATERNITE,33230,Saint-Médard-de-Guizières,45.01540261432552,-0.06022024989155345,OUVERT,"45.01540261432552, -0.06022024989155345",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-04-05,PAS INTERNAT,Dès la 6ème
Collège privé Jeanne d'Arc - Saint Romain,COLLEGE GENERALE PRIVE,JEANNE D ARC-ST ROMAIN,91,Privé,15 RUE ANDRE LAFON,33390,Blaye,45.12648662498179,-0.6596849096273357,OUVERT,"45.12648662498179, -0.6596849096273357",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-04-05,PAS INTERNAT,Dès la 6ème
Collège privé Jeanne d'Arc Assomption,COLLEGE GENERALE PRIVE,JEANNE D'ARC ASSOMPTION,99,Privé,1 place des droits de l'homme et citoy,33600,Pessac,44.80560482590904,-0.6298150418342294,OUVERT,"44.80560482590904, -0.6298150418342294",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-04-05,PAS INTERNAT,Dès la 6ème
Collège privé l'Eyre des Loupiots,COLLEGE GENERALE PRIVE,L'EYRE DES LOUPIOTS,,Privé,1 allée de la Gare,33770,Salles,44.55491235518039,-0.8708044052736107,OUVERT,"44.55491235518039, -0.8708044052736107",HORS CONTRAT,2022-09-01,PAS INTERNAT,Dès la 6ème
Collège privé La Chrysalide - Captieux,COLLEGE GENERALE PRIVE,LA CHRYSALIDE,,Privé,74 route de Bazas,33840,Captieux,44.298010768430004,-0.2578694433469413,OUVERT,"44.298010768430004, -0.2578694433469413",HORS CONTRAT,2021-09-01,PAS INTERNAT,Dès la 6ème
Collège privé Le Mirail,COLLEGE GENERALE PRIVE,LE MIRAIL,86,Privé,61 cours DE LA SOMME,33800,Bordeaux,44.82811735304615,-0.5724397188104074,OUVERT,"44.82811735304615, -0.5724397188104074",CONTRAT D'ASSOCIATION TOUTES CLASSES,1990-10-01,PAS INTERNAT,Dès la 6ème
Collège privé Lestonnac,COLLEGE GENERALE PRIVE,LESTONNAC,99,Privé,92 route DE FARGUES,33360,Carignan-de-Bordeaux,44.82173566510237,-0.45952774123427703,OUVERT,"44.82173566510237, -0.45952774123427703",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-03-15,PAS INTERNAT,Dès la 6ème
Collège privé Notre-Dame,COLLEGE GENERALE PRIVE,NOTRE DAME,93,Privé,13 rue CASTEJA,33000,Bordeaux,44.842642680494045,-0.5820010243507929,OUVERT,"44.842642680494045, -0.5820010243507929",CONTRAT D'ASSOCIATION TOUTES CLASSES,1980-09-01,INTERNAT,Dès la 6ème
Collège privé Notre-Dame,COLLEGE GENERALE PRIVE,NOTRE DAME,95,Privé,14  RUE DE L EGLISE,33340,Lesparre-Médoc,45.30720959961555,-0.9377808291559515,OUVERT,"45.30720959961555, -0.9377808291559515",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-04-05,PAS INTERNAT,Dès la 6ème
Collège privé Notre-Dame Sévigné,COLLEGE GENERALE PRIVE,NOTRE DAME SEVIGNE,98,Privé,36 ALLEE DU 7EME ART,33400,Talence,44.81140314927386,-0.5928976934337254,OUVERT,"44.81140314927386, -0.5928976934337254",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-03-15,PAS INTERNAT,Dès la 6ème
