Nom,Type d'établissement,Patronyme,Réussite au brevet (en %),Type de secteur,Adresse,Code postal,Commune,latitude,longitude,Etat de l'établissement,position,Précision de secteur,Date d'ouverture,Internat,Admission
Collège Camille Claudel,COLLEGE GENERALE,CAMILLE CLAUDEL,95,Public,6 chemin du Stade,33360,Latresne,44.78636463790582,-0.4917198947082457,OUVERT,"44.78636463790582, -0.4917198947082457",SANS OBJET,1968-04-02,PAS INTERNAT,Dès la 6ème
Collège Cantelande,COLLEGE GENERALE,CANTELANDE,96,Public,1 chemin DES SOURCES,33610,Cestas,44.75831213898892,-0.6875590104313687,OUVERT,"44.75831213898892, -0.6875590104313687",SANS OBJET,1976-02-13,PAS INTERNAT,Dès la 6ème
Collège Canterane,COLLEGE GENERALE,CANTERANE,89,Public,44 rue ST GENES,33480,Castelnau-de-Médoc,45.03029061857,-0.7912551443607616,OUVERT,"45.03029061857, -0.7912551443607616",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Capeyron,COLLEGE GENERALE,CAPEYRON,95,Public,50 avenue DU BEDAT,33700,Mérignac,44.849560003439734,-0.6474610333265041,OUVERT,"44.849560003439734, -0.6474610333265041",SANS OBJET,1965-12-08,PAS INTERNAT,Dès la 6ème
Collège Cassignol,COLLEGE GENERALE ,CASSIGNOL,93,Public,63 rue LAROCHE,33000,Bordeaux,44.852276655981946,-0.5849179937998745,OUVERT,"44.852276655981946, -0.5849179937998745",SANS OBJET,1967-11-07,PAS INTERNAT,Dès la 6ème
Collège Chambéry,COLLEGE ET SEGPA,CHAMBERY,89,Public,138 route DE LEOGNAN,33140,Villenave-d'Ornon,44.755926314660364,-0.5847675127212141,OUVERT,"44.755926314660364, -0.5847675127212141",SANS OBJET,1974-05-02,PAS INTERNAT,Dès la 6ème
Collège Champ d'Eymet,COLLEGE GENERALE,CHAMP D EYMET,91,Public,8 rue des Ecoles,33790,Pellegrue,44.74341536512775,0.07393048682493016,OUVERT,"44.74341536512775, 0.07393048682493016",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Chante Cigale,COLLEGE GENERALE ET SEGPA,CHANTE CIGALE,91,Public,21 allée Pierre Corneille,33470,Gujan-Mestras,44.6218187197079,-1.060665964484304,OUVERT,"44.6218187197079, -1.060665964484304",SANS OBJET,1970-02-18,PAS INTERNAT,Dès la 6ème
Collège Cheverus,COLLEGE GENERALE,CHEVERUS,94,Public,10  RUE DE CHEVERUS,33000,Bordeaux,44.83924225573894,-0.5758001082364536,OUVERT,"44.83924225573894, -0.5758001082364536",SANS OBJET,1969-03-03,PAS INTERNAT,Dès la 6ème
Collège Cheverus,COLLEGE GENERALE ET SEGPA,CLG CHEVERUS,"98,4",Public,2  RUE DES AUGUSTINS,33000,Bordeaux,44.832468834419174,-0.5708091416042685,OUVERT,"44.832468834419174, -0.5708091416042685",SANS OBJET,1970-05-26,PAS INTERNAT,Dès la 6ème
Collège Claude Masse,COLLEGE GENERALE,CLAUDE MASSE,84,Public,4 avenue PIERRE BARRE,33440,Ambarès-et-Lagrave,44.9282023332049,-0.4831464136914807,OUVERT,"44.9282023332049, -0.4831464136914807",SANS OBJET,1968-04-02,PAS INTERNAT,Dès la 6ème
COLLEGE COURS PERET BORDEAUX,COLLEGE GENERALE,COURS PERET BORDEAUX,95,Privé,4 rue Edmond Rostand,33185,Le Haillan,44.86071074338242,-0.667122393404524,OUVERT,"44.86071074338242, -0.667122393404524",HORS CONTRAT,2021-09-01,PAS INTERNAT,Dès la 6ème
Collège d'Arsac,COLLEGE GENERALE,D'ARSAC,89,Public,2 allée PANCHON,33460,Arsac,44.99004243475072,-0.6950206593355172,OUVERT,"44.99004243475072, -0.6950206593355172",SANS OBJET,1985-09-01,PAS INTERNAT,Dès la 6ème
Collège de Bordeaux Lac,COLLEGE GENERALE,DE BORDEAUX LAC,,Public,12 rue Marceline Desbordes-Valmore,33300,Bordeaux,44.880941090355876,-0.5690177113569815,OUVERT,"44.880941090355876, -0.5690177113569815",SANS OBJET,2022-09-01,PAS INTERNAT,Dès la 6ème
Collège de l'Estey,COLLEGE GENERALE,DE L'ESTEY,96,Public,2200 avenue DU LAS,33127,Saint-Jean-d'Illac,44.806465392850555,-0.8079980874686965,OUVERT,"44.806465392850555, -0.8079980874686965",SANS OBJET,2006-09-01,PAS INTERNAT,Dès la 6ème
Collège de Lacanau,COLLEGE GENERALE,DE LACANAU,86,Public,Allée du Collège,33680,Lacanau,44.987435039854766,-1.0881781291212305,OUVERT,"44.987435039854766, -1.0881781291212305",SANS OBJET,2013-09-01,PAS INTERNAT,Dès la 6ème
Collège de Montussan,COLLEGE GENERALE,DE MONTUSSAN,,Public,Route d'Angeline,33450,Montussan,,,A OUVRIR,,SANS OBJET,2025-09-01,PAS INTERNAT,Dès la 6ème
Collège de Saint André de Cubzac,COLLEGE GENERALE,DE SAINT ANDRE DE CUBZAC,86,Public,270 chemin DU GYMNASE,33240,Saint-André-de-Cubzac,45.005447653596676,-0.43218260433885347,OUVERT,"45.005447653596676, -0.43218260433885347",SANS OBJET,1970-02-18,PAS INTERNAT,Dès la 6ème
Collège de Saint-Selve,COLLEGE GENERALE,DE SAINT-SELVE,"99,2",Public,1 rue du collège,33650,Saint-Selve,44.666981205309554,-0.48412192751892213,OUVERT,"44.666981205309554, -0.48412192751892213",SANS OBJET,2022-09-01,PAS INTERNAT,Dès la 6ème
Collège du Val de Saye,COLLEGE GENERALE,DU VAL DE SAYE,86,Public,2 rue du Collège,33920,Saint-Yzan-de-Soudiac,45.139329958860735,-0.41145166104362557,OUVERT,"45.139329958860735, -0.41145166104362557",SANS OBJET,1971-02-04,PAS INTERNAT,Dès la 6ème
Collège Edouard Vaillant,COLLEGE GENERALE,EDOUARD VAILLANT,76,Public,44 cours Louis Fargue,33300,Bordeaux,44.86473237706206,-0.5654991881124918,OUVERT,"44.86473237706206, -0.5654991881124918",SANS OBJET,1972-02-23,PAS INTERNAT,Dès la 6ème
Collège EIN GEDI - Etablissement expérimental et innovant au service des jeunes ayant une déficience intellectuelle,COLLEGE GENERALE PRIVE,EIN GEDI,92,Privé,6 rue de Ségur,33000,Bordeaux,44.825568631462524,-0.5883204364671979,OUVERT,"44.825568631462524, -0.5883204364671979",HORS CONTRAT,2022-01-15,PAS INTERNAT,Dès la 6ème
Collège Eléonore de Provence,COLLEGE,ELEONORE DE PROVENCE,92,Public,Le Stade,33580,Monségur,44.64894694362922,0.06938788490665107,OUVERT,"44.64894694362922, 0.06938788490665107",SANS OBJET,1965-05-01,INTERNAT,Dès la 6ème
Collège Elie Faure,COLLEGE GENERALE ET SEGPA,ELIE FAURE,80,Public,Port STE FOY,33220,Sainte-Foy-la-Grande,44.84251417619523,0.20311419962138558,OUVERT,"44.84251417619523, 0.20311419962138558",SANS OBJET,1977-03-14,PAS INTERNAT,Dès la 6ème
Collège Elise Deroche,COLLEGE GENERALE,ELISE DEROCHE,90,Public,127 voie André Seyrac,33490,Le Pian-sur-Garonne,44.56962001444899,-0.2279028558482729,OUVERT,"44.56962001444899, -0.2279028558482729",SANS OBJET,1996-09-01,PAS INTERNAT,Dès la 6ème
Collège Emile Combes,COLLEGE GENERALE,EMILE COMBES,94,Public,76 rue EMILE COMBES,33000,Bordeaux,44.83480165918746,-0.6099365776943609,OUVERT,"44.83480165918746, -0.6099365776943609",SANS OBJET,1987-09-01,PAS INTERNAT,Dès la 6ème
Collège Emile Durkheim,COLLEGE GENERALE,EMILE DURKHEIM,90,Public,6 rue LA MICHERE,33240,Peujard,45.04328189903859,-0.42180290721620245,OUVERT,"45.04328189903859, -0.42180290721620245",SANS OBJET,1986-09-01,PAS INTERNAT,Dès la 6ème
Collège Emile Zola,COLLEGE GENERALE,EMILE ZOLA,88,Public,19  RUE DE LOS HEROS,33185,Le Haillan,44.87073647056862,-0.6732671518038379,OUVERT,"44.87073647056862, -0.6732671518038379",SANS OBJET,1978-09-01,PAS INTERNAT,Dès la 6ème
Collège Emmanuel Dupaty,COLLEGE GENERALE ET SEGPA,EMMANUEL DUPATY,89,Public,28 rue Marechal de Lattre de Tassigny,33291,Blanquefort,44.90678572873168,-0.6282540755296204,OUVERT,"44.90678572873168, -0.6282540755296204",SANS OBJET,1970-02-18,PAS INTERNAT,Dès la 6ème
Collège Eugène Atget,COLLEGE GENERALE,EUGENE ATGET,90,Public,14 rue ABEL BOIREAU,33502,Libourne,44.91757897592239,-0.24197022987582603,OUVERT,"44.91757897592239, -0.24197022987582603",SANS OBJET,1977-03-14,PAS INTERNAT,Dès la 6ème
Collège Fontaines de Monjous,COLLEGE GENERALE,FONTAINES DE MONJOUS,91,Public,7 rue DES FONTAINES DE MONJOUS,33170,Gradignan,44.77657522099806,-0.6061018410760983,OUVERT,"44.77657522099806, -0.6061018410760983",SANS OBJET,1968-04-02,PAS INTERNAT,Dès la 6ème
Collège François Mauriac,COLLEGE GENERALE,FRANCOIS MAURIAC,89,Public,6 avenue DU 8 MAI,33113,Saint-Symphorien,44.430274103031955,-0.49182518493274996,OUVERT,"44.430274103031955, -0.49182518493274996",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège François Mauriac,COLLEGE GENERALE,FRANCOIS MAURIAC,94,Public,131 avenue MONTAIGNE,33160,Saint-Médard-en-Jalles,44.89386339298644,-0.7120137729647729,OUVERT,"44.89386339298644, -0.7120137729647729",SANS OBJET,1969-03-03,PAS INTERNAT,Dès la 6ème
Collège François Mauriac,COLLEGE GENERALE,FRANCOIS MAURIAC,87,Public,33 rue DU PROFESSEUR PORTMANN,33560,Sainte-Eulalie,44.90247527609466,-0.47223080447731114,OUVERT,"44.90247527609466, -0.47223080447731114",SANS OBJET,1985-09-01,PAS INTERNAT,Dès la 6ème
Collège François Mauriac,COLLEGE GENERALE,FRANCOIS MAURIAC,88,Public,21 rue de la Ferme de Richemont,33850,Léognan,44.72952757871586,-0.5911043031352495,OUVERT,"44.72952757871586, -0.5911043031352495",SANS OBJET,1974-05-02,PAS INTERNAT,Dès la 6ème
Collège François Mitterrand,COLLEGE GENERALE,FRANCOIS MITTERRAND,92,Public,3 rue André Chénier,33600,Pessac,44.7919202102726,-0.6450723665147032,OUVERT,"44.7919202102726, -0.6450723665147032",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège François Mitterrand,COLLEGE GENERALE ET SEGPA,FRANCOIS MITTERRAND,96,Public,18 boulevard de Verdun,33670,Créon,44.77364355544522,-0.35172403401287133,OUVERT,"44.77364355544522, -0.35172403401287133",SANS OBJET,1975-04-08,PAS INTERNAT,Dès la 6ème
Collège Franscisco Goya, COLLEGE GENERALE,FRANCISCO GOYA,92,Public,56 rue du commandant Arnould,33023,Bordeaux,44.83433606051566,-0.5771063716112431,OUVERT,"44.83433606051566, -0.5771063716112431",SANS OBJET,1967-11-07,PAS INTERNAT,Dès la 6ème
Collège Gaston Flament, COLLEGE GENERALE,GASTON FLAMENT,92,Public,33 avenue LEON DELAGRANGE,33380,Marcheprime,44.698093175693856,-0.8471764396230174,OUVERT,"44.698093175693856, -0.8471764396230174",SANS OBJET,2005-09-01,PAS INTERNAT,Dès la 6ème
Collège Georges Brassens, COLLEGE GENERALE ET SEGPA,GEORGES BRASSENS,88,Public,3 cours du Maréchal Joffre,33720,Podensac,44.64941295469465,-0.3522624196575841,OUVERT,"44.64941295469465, -0.3522624196575841",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Georges Lapierre,COLLEGE GENERALE ET SEGPA,GEORGES LAPIERRE,76,Public,2 rue Pierre Brossolette,33305,Lormont,44.87440703977014,-0.5223870666307535,OUVERT,"44.87440703977014, -0.5223870666307535",SANS OBJET,1968-04-02,INTERNAT,Dès la 6ème
Collège Georges Mandel,COLLEGE GENERALE ET SEGPA,GEORGES MANDEL,80,Public,27 rue GEORGES MANDEL,33780,Soulac-sur-Mer,45.50569432893417,-1.1226449792411406,OUVERT,"45.50569432893417, -1.1226449792411406",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Georges Rayet,COLLEGE GENERALE,GEORGES RAYET,90,Public,42 chemin de Cornier,33270,Floirac,44.842138625193755,-0.5151929469879545,OUVERT,"44.842138625193755, -0.5151929469879545",SANS OBJET,1977-05-11,PAS INTERNAT,Dès la 6ème
Collège Gérard Philipe,COLLEGE GENERALE ET SEGPA,GERARD PHILIPE,87,Public,38 avenue PIERRE CORNEILLE,33600,Pessac,44.79932118511685,-0.6224595402738479,OUVERT,"44.79932118511685, -0.6224595402738479",SANS OBJET,1973-04-02,PAS INTERNAT,Dès la 6ème
Collège Gisèle Halimi,COLLEGE GENERALE,GISELE HALIMI,88,Public,1 rue JOLIOT CURIE,33706,Mérignac,44.84199629660682,-0.6510234523453694,OUVERT,"44.84199629660682, -0.6510234523453694",SANS OBJET,1965-12-08,PAS INTERNAT,Dès la 6ème
Collège Grand Parc,COLLEGE GENERALE ET SEGPA,GRAND PARC,85,Public,25 rue PIERRE TREBOD,33300,Bordeaux,44.85646023715817,-0.5829677746507886,OUVERT,"44.85646023715817, -0.5829677746507886",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Hastignan,COLLEGE GENERALE ET SEGPA,HASTIGNAN,91,Public,86 avenue Anatole France,33160,Saint-Médard-en-Jalles,44.89377341980709,-0.7448289417985248,OUVERT,"44.89377341980709, -0.7448289417985248",SANS OBJET,1973-04-02,PAS INTERNAT,Dès la 6ème
Collège Henri Brisson,COLLEGE GENERALE,HENRI BRISSON,89,Public,15 rue ARMAND LEROI,33400,Talence,44.818707166798056,-0.5914161787171183,OUVERT,"44.818707166798056, -0.5914161787171183",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Henri de Navarre,COLLEGE GENERALE ET SEGPA,HENRI DE NAVARRE,72,Public,9 rue JEAN ZAY,33230,Coutras,45.04082038283991,-0.11869991307758714,OUVERT,"45.04082038283991, -0.11869991307758714",SANS OBJET,1968-04-02,PAS INTERNAT,Dès la 6ème
Collège Henri Dheurle,COLLEGE GENERALE,HENRI DHEURLE,80,Public,9 rue Pierre de Coubertin,33260,La Teste-de-Buch,44.63231696550532,-1.1365346884966911,OUVERT,"44.63231696550532, -1.1365346884966911",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège International School 33,ECOLE SECONDAIRE PRIVEE,INTERNATIONAL SCHOOL 33,100,Privé,142 rue Jules Ferry,33200,Bordeaux,44.8434581889302,-0.607948169611773,OUVERT,"44.8434581889302, -0.607948169611773",HORS CONTRAT,2023-09-01,PAS INTERNAT,Dès la 6ème
Collège J. Auriac,COLLEGE GENERALE,J.AURIAC,87,Public,4  RUE DE PEYTOT,33500,Arveyres,44.88367397845113,-0.28497051773945037,OUVERT,"44.88367397845113, -0.28497051773945037",SANS OBJET,1972-02-23,PAS INTERNAT,Dès la 6ème
Collège Jacques Ellul,COLLEGE GENERALE ET SEGPA,JACQUES ELLUL,76,Public,30 rue Gustave Eiffel,33100,Bordeaux,44.84938310934171,-0.5474245046860577,OUVERT,"44.84938310934171, -0.5474245046860577",SANS OBJET,1976-09-14,PAS INTERNAT,Dès la 6ème
Collège Jacques Prévert,COLLEGE GENERALE,JACQUES PREVERT,85,Public,2 rue des écoles,33710,Bourg,45.04124052082845,-0.5551740518421362,OUVERT,"45.04124052082845, -0.5551740518421362",SANS OBJET,1976-02-13,PAS INTERNAT,Dès la 6ème
Collège Jean Aviotte,COLLEGE GENERALE,JEAN AVIOTTE,89,Public,6 grand'rue,33230,Guîtres,45.04162784600899,-0.18546107752025037,OUVERT,"45.04162784600899, -0.18546107752025037",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Jean Cocteau,COLLEGE GENERALE,JEAN COCTEAU,91,Public,52 bis avenue de la Mairie,33950,Lège-Cap-Ferret,44.792367229785825,-1.1462719350389288,OUVERT,"44.792367229785825, -1.1462719350389288",SANS OBJET,1984-09-01,PAS INTERNAT,Dès la 6ème
Collège Jean Jaurès, COLLEGE GENRALE ET SEGPA,JEAN JAURES,86,Public,32 avenue DES QUATRE PAVILLONS,33151,Cenon,44.86285258870648,-0.5166386585386282,OUVERT,"44.86285258870648, -0.5166386585386282",SANS OBJET,1971-02-04,PAS INTERNAT,Dès la 6ème
Collège Jean Monnet,COLLEGE GENERALE,JEAN MONNET,91,Public,10 rue DES DROITS DE L HOMME,33820,Saint-Ciers-sur-Gironde,45.29361690568263,-0.6130145546808428,OUVERT,"45.29361690568263, -0.6130145546808428",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Jean Moulin,COLLEGE GENERALE,JEAN MOULIN,89,Public,Rue DU PRESIDENT ALI CHEKKAL,33492,Le Bouscat,44.86359738209601,-0.605114149566387,OUVERT,"44.86359738209601, -0.605114149566387",SANS OBJET,2004-09-01,PAS INTERNAT,Dès la 6ème
Collège Jean Verdier,COLLEGE GENERALE,JEAN VERDIER,84,Public,RUE DES CIGALES,33980,Audenge,44.68736107865506,-1.0069459511385308,OUVERT,"44.68736107865506, -1.0069459511385308",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Jean Zay,COLLEGE GENERALE,JEAN ZAY,94,Public,41 avenue de la Côte d'Argent,33380,Biganos,44.6352700225139,-0.9755237092648023,OUVERT,"44.6352700225139, -0.9755237092648023",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Jean Zay,COLLEGE GENERALE,JEAN ZAY,83,Public,Avenue JEAN ZAY,33151,Cenon,44.854318986096345,-0.5131354045833131,OUVERT,"44.854318986096345, -0.5131354045833131",SANS OBJET,1967-11-07,PAS INTERNAT,Dès la 6ème
Collège Joséphine Baker,COLLEGE GENERALE,JOSEPHINE BAKER,,Public,4 rue FELIX ARNAUDIN,33380,Mios,44.614618234036804,-0.9182532623640727,OUVERT,"44.614618234036804, -0.9182532623640727",SANS OBJET,2016-09-01,PAS INTERNAT,Dès la 6ème
Collège Jules Chambrelent,COLLEGE GENERALE,JULES CHAMBRELENT,89,Public,11 RUE DE LA BOUAILLE,33990,Hourtin,45.19053332213172,-1.0579884345420385,OUVERT,"45.19053332213172, -1.0579884345420385",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Jules Ferry,COLLEGE GENERALE,JULES FERRY,81,Public,22 rue Jules Ferry,33210,Langon,44.549058059517634,-0.2528963752870986,OUVERT,"44.549058059517634, -0.2528963752870986",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège L'Envol - Bordeaux,COLLEGE GENERALE PRIVE,COLLEGE L'ENVOL - BORDEAUX,,Privé,109 cours du Médoc,33300,Bordeaux,44.86108057321218,-0.5697847490132195,OUVERT,"44.86108057321218, -0.5697847490132195",HORS CONTRAT,2020-09-01,PAS INTERNAT,Dès la 6ème
Collège La Garosse,SEGPA,CLG LA GAROSSE,"83,7",Public,DOMAINE LA GAROSSE,33240,Saint-André-de-Cubzac,45.005411007152645,-0.43223117233363706,OUVERT,"45.005411007152645, -0.43223117233363706",SANS OBJET,1971-02-04,PAS INTERNAT,Dès la 6ème
Collège Le Barp,COLLEGE GENERALE,LE BARP,,Public,4 rue des Bouvreuils,33114,Le Barp,44.613126185651126,-0.7787994672828115,OUVERT,"44.613126185651126, -0.7787994672828115",SANS OBJET,2024-09-01,PAS INTERNAT,Dès la 6ème
Collège Léo Drouyn,COLLEGE GENERALE,LEO DROUYN,93,Public,90 rue du Collège,33240,Vérac,44.991675498111114,-0.3387105380209908,OUVERT,"44.991675498111114, -0.3387105380209908",SANS OBJET,1985-09-01,PAS INTERNAT,Dès la 6ème
Collège Léonard de Vinci,COLLEGE GENERALE,LEONARD DE VINCI,95,Public,Avenue du Lycée,33160,Saint-Aubin-de-Médoc,44.90581995271512,-0.7154560617884537,OUVERT,"44.90581995271512, -0.7154560617884537",SANS OBJET,2003-09-01,PAS INTERNAT,Dès la 6ème
Collège Léonard Lenoir,COLLEGE GENERALE,LEONARD LENOIR,88,Public,16 rue Léonard Lenoir,33100,Bordeaux,44.84153932220803,-0.5538237748046175,OUVERT,"44.84153932220803, -0.5538237748046175",SANS OBJET,1968-04-02,PAS INTERNAT,Dès la 6ème
Collège les Dagueys,COLLEGE GENERALE ET SEGPA,LES DAGUEYS,82,Public,27 avenue François Mitterrand,33503,Libourne,44.948032940783754,-0.24259370840983743,OUVERT,"44.948032940783754, -0.24259370840983743",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Les Eyquems,COLLEGE GENERALE,LES EYQUEMS,93,Public,Rue de la Tour de Veyrines,33700,Mérignac,44.82724018911773,-0.6459605757572225,OUVERT,"44.82724018911773, -0.6459605757572225",SANS OBJET,1966-10-10,PAS INTERNAT,Dès la 6ème
Collège Les Lesques,COLLEGE GENERALE,LES LESQUES,86,Public,1 avenue Jean Moulin,33341,Lesparre-Médoc,45.299822399133554,-0.9266261293803881,OUVERT,"45.299822399133554, -0.9266261293803881",SANS OBJET,1971-02-04,PAS INTERNAT,Dès la 6ème
Collège Lucie Aubrac,COLLEGE GENERALE,LUCIE AUBRAC,,Public,11 route du Piquat,33570,Lussac,44.948876831687336,-0.09990770207892488,OUVERT,"44.948876831687336, -0.09990770207892488",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Manon Cormier,COLLEGE GENERALE ET SEGPA,MANON CORMIER,79,Public,15 rue DU 19 MARS 1962,33530,Bassens,44.90063818859695,-0.5089649718337196,OUVERT,"44.90063818859695, -0.5089649718337196",SANS OBJET,1971-02-04,PAS INTERNAT,Dès la 6ème
Collège Marcellin Berthelot,COLLEGE GENERALE,MARCELLIN BERTHELOT,85,Public,23 rue MARCELLIN BERTHELOT,33130,Bègles,44.80803893230587,-0.5669685273908109,OUVERT,"44.80803893230587, -0.5669685273908109",SANS OBJET,1970-02-18,PAS INTERNAT,Dès la 6ème
Collège Marguerite Duras,COLLEGE GENERALE ET SEGPA,MARGUERITE DURAS,88,Public,13 avenue FRANCOIS MAURIAC,33506,Libourne,44.902582066380816,-0.23513279607733562,OUVERT,"44.902582066380816, -0.23513279607733562",SANS OBJET,2009-09-01,PAS INTERNAT,Dès la 6ème
Collège Marie Bartette,COLLEGE GENERALE,MARIE BARTETTE,87,Public,9 avenue ROLAND DORGELES,33120,Arcachon,44.652973382409385,-1.163537678335056,OUVERT,"44.652973382409385, -1.163537678335056",SANS OBJET,1977-03-14,PAS INTERNAT,Dès la 6ème
Collège Max Linder,COLLEGE GENERALE,MAX LINDER,90,Public,15 avenue DE CAJUS,33451,Saint-Loubès,44.909941137654094,-0.42746459549748095,OUVERT,"44.909941137654094, -0.42746459549748095",SANS OBJET,1976-02-13,PAS INTERNAT,Dès la 6ème
Collège Monsejour,COLLEGE GENERALE,MONSEJOUR,92,Public,7 rue Du Chanoine André Lacaze,33019,Bordeaux,44.85575138900363,-0.6307444484724678,OUVERT,"44.85575138900363, -0.6307444484724678",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Montaigne,COLLEGE GENERALE,MONTAIGNE,81,Public,Esplanade François Mitterrand,33305,Lormont,44.87379527053053,-0.5168973506847918,OUVERT,"44.87379527053053, -0.5168973506847918",SANS OBJET,1971-04-19,PAS INTERNAT,Dès la 6ème
Collège Montesquieu,COLLEGE GENERALE,MONTESQUIEU,95,Public,14 avenue Capdeville,33650,La Brède,44.68432590502815,-0.5295671188073443,OUVERT,"44.68432590502815, -0.5295671188073443",SANS OBJET,1976-02-13,PAS INTERNAT,Dès la 6ème
Collège Montessori Bordeaux Mios,COLLEGE GENERALE PRIVE,MONTESSORI BORDEAUX MIOS,,Privé,6 allée de la colonie,33380,Mios,44.60042998045683,-0.9359667191229617,OUVERT,"44.60042998045683, -0.9359667191229617",HORS CONTRAT,2019-10-16,PAS INTERNAT,Dès la 6ème
Collège Nelson Mandela,COLLEGE GENERALE,NELSON MANDELA,70,Public,20 avenue de la Libération,33270,Floirac,44.8388487614692,-0.5331585713029526,OUVERT,"44.8388487614692, -0.5331585713029526",SANS OBJET,1973-04-03,PAS INTERNAT,Dès la 6ème
Collège Noés,COLLEGE GENERALE,NOES,97,Public,8 avenue DE NOES,33600,Pessac,44.81239564947373,-0.6365605898369852,OUVERT,"44.81239564947373, -0.6365605898369852",SANS OBJET,1970-02-18,PAS INTERNAT,Dès la 6ème
Collège notre dame de verdelais de saint-macaire,COLLEGE GENERALE PRIVE,NOTRE-DAME DE VERDELAIS,,Privé,10 chemin du Viaduc,33490,Saint-Macaire,44.563340985086064,-0.24002045888197215,OUVERT,"44.563340985086064, -0.24002045888197215",HORS CONTRAT,2010-10-14,PAS INTERNAT,Dès la 6ème
